project,bug_id,files_changed,source_files_changed,test_files_changed,human_test_added,human_test_modified,human_test_count,human_test_names,human_test_files,human_test_baseline_quality,has_changed_test_baseline,has_failing_test_reference,patch_path,buggy_commit,fixed_commit,failing_tests,notes
ansible,1,1,1,0,False,False,0,,test/units/galaxy/test_collection.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_1.patch,"""25c5388fdec9e56517a93feb5e8d485680946c25""","""343ffaa18b63c92e182b16c3ad84b8d81ca4df69""","""test/units/galaxy/test_collection.py""",human_test_baseline_quality=partial
ansible,10,1,1,0,False,False,0,,test/units/modules/system/test_pamd.py,none,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_10.patch,"""e368f788f71c338cd3f049d5d6bdc643a51c0514""","""a4b59d021368285490f7cda50c11ac4f7a8030b5""","""test/units/modules/system/test_pamd.py""",human_test_baseline_quality=none
ansible,2,1,1,0,False,False,0,,test/units/utils/test_version.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_2.patch,"""de59b17c7f69d5cfb72479b71776cc8b97e29a6b""","""5b9418c06ca6d51507468124250bb58046886be6""","""test/units/utils/test_version.py""",human_test_baseline_quality=partial
ansible,3,1,1,0,False,False,1,test_distribution_version,test/units/module_utils/test_distribution_version.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_3.patch,"""70219df9056ffb1e2766f572fbe71f7a1800c9f5""","""9d48884e36fb4fd9551f000b87d264383de74e75""","""test/units/module_utils/test_distribution_version.py""",human_test_baseline_quality=partial
ansible,4,1,1,0,False,False,0,,test/units/playbook/test_collectionsearch.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_4.patch,"""d91658ec0c8434c82c3ef98bfe9eb4e1027a43a3""","""18a66e291dad71128a32d662aa808213acefe0e9""","""test/units/playbook/test_collectionsearch.py""",human_test_baseline_quality=partial
ansible,5,2,1,1,False,True,1,test_check_required_arguments,test/units/module_utils/common/validation/test_check_mutually_exclusive.py; test/units/module_utils/common/validation/test_check_required_arguments.py,partial,True,True,C:\COSC540\github_mining_starter\data\patches\ansible_5.patch,"""2af76f16be8cf2239daaec4c2f31c3dcb4e3469e""","""3c3ffc09c203d1b2262f6a319cceadd727749761""","""test/units/module_utils/common/validation/test_check_required_arguments.py""",human_test_baseline_quality=partial
ansible,6,1,1,0,False,False,0,,test/units/galaxy/test_collection_install.py,none,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_6.patch,"""90898132e456ee1993db99a1531379f1b98ee915""","""4881af2e7e0506ada0225fd764e874e20569d5b2""","""test/units/galaxy/test_collection_install.py""",human_test_baseline_quality=none
ansible,7,1,1,0,False,False,0,,test/units/modules/network/eos/test_eos_vlans.py,none,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_7.patch,"""cd146b836e032df785ecd9eb711c6ef23c2228b8""","""4ec1437212b2fb3c313e44ed5a76b105f2151622""","""test/units/modules/network/eos/test_eos_vlans.py""",human_test_baseline_quality=none
ansible,8,1,1,0,False,False,0,,test/units/plugins/shell/test_powershell.py,none,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_8.patch,"""81378b3e744cd0d13b33d18a4f8a38aeb8a6e97a""","""fc7980af9a42676913b4054163570ee438b82e9c""","""test/units/plugins/shell/test_powershell.py""",human_test_baseline_quality=none
ansible,9,1,1,0,False,False,0,,test/units/modules/packaging/os/test_redhat_subscription.py,none,False,True,C:\COSC540\github_mining_starter\data\patches\ansible_9.patch,"""9276dd2007a73172ed99ab5a56cded4298d3cd2b""","""6f1bb37feb81acd99157f5ba0933fecd747015a2""","""test/units/modules/packaging/os/test_redhat_subscription.py""",human_test_baseline_quality=none
pandas,1,1,1,0,False,False,0,,pandas/tests/dtypes/test_dtypes.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\pandas_1.patch,"""3fd150c""","""e41ee47a90bb1d8a1fa28fcefcd45ed8ef5cb946""","""pandas/tests/dtypes/test_dtypes.py""",human_test_baseline_quality=partial
pandas,10,1,1,0,False,False,1,test_update,pandas/tests/series/methods/test_update.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\pandas_10.patch,"""de8ca78""","""e1ee2b0679e5999c993a787606d30e75faaba7a2""","""pandas/tests/series/methods/test_update.py""",human_test_baseline_quality=partial
pandas,2,1,1,0,False,False,0,,pandas/tests/indexing/test_scalar.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\pandas_2.patch,"""2740fb4""","""55e8891f6d33be14e0db73ac06513129503f995c""","""pandas/tests/indexing/test_scalar.py""",human_test_baseline_quality=partial
pandas,3,1,1,0,False,False,2,test_to_period; test_to_timestamp,pandas/tests/series/methods/test_to_period.py; pandas/tests/series/methods/test_to_timestamp.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\pandas_3.patch,"""45fee32""","""d3a6a3a58e1a6eb68b8b8399ff252b8f4501950e""","""pandas/tests/series/methods/test_to_period.py;pandas/tests/series/methods/test_to_timestamp.py""",human_test_baseline_quality=partial
pandas,4,1,1,0,False,False,0,,pandas/tests/indexes/multi/test_join.py,partial,False,True,C:\COSC540\github_mining_starter\data\patches\pandas_4.patch,"""cca710b""","""2250ddfaff92abaff20a5bcd78315f5d4bd44981""","""pandas/tests/indexes/multi/test_join.py""",human_test_baseline_quality=partial
