project,bug_count,first_bug_id,last_bug_id,repo_hint
PySnooper,3,1,3,"""https://github.com/cool-RR/PySnooper"""
ansible,18,1,18,"""https://github.com/ansible/ansible"""
black,23,1,23,"""https://github.com/psf/black"""
cookiecutter,4,1,4,"""https://github.com/cookiecutter/cookiecutter"""
fastapi,16,1,16,"""https://github.com/tiangolo/fastapi"""
httpie,5,1,5,"""https://github.com/jakubroztocil/httpie/"""
keras,45,1,45,"""https://github.com/keras-team/keras"""
luigi,33,1,33,"""https://github.com/spotify/luigi"""
matplotlib,30,1,30,"""https://github.com/matplotlib/matplotlib"""
pandas,169,1,169,"""https://github.com/pandas-dev/pandas"""
sanic,5,1,5,"""https://github.com/huge-success/sanic"""
scrapy,40,1,40,"""https://github.com/scrapy/scrapy"""
spacy,10,1,10,"""https://github.com/explosion/spaCy"""
thefuck,32,1,32,"""https://github.com/nvbn/thefuck"""
tornado,16,1,16,"""https://github.com/tornadoweb/tornado"""
tqdm,9,1,9,"""https://github.com/tqdm/tqdm"""
youtube-dl,43,1,43,"""https://github.com/ytdl-org/youtube-dl"""
