project,bug_id,slug,recommended_status,status_final,buggy_checkout_ok,fixed_checkout_ok,checkout_ok,files_changed,source_files_changed,test_files_changed,human_test_count,human_test_names,human_test_files,source_file_paths,test_file_paths,clear_bug_context,has_test_context,usable_for_llm,recommended_reason,review_notes,patch_path,buggy_commit,fixed_commit,failing_tests
ansible,1,ansible_1,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/galaxy/test_collection.py,lib/ansible/galaxy/collection.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_1.patch,"""25c5388fdec9e56517a93feb5e8d485680946c25""","""343ffaa18b63c92e182b16c3ad84b8d81ca4df69""","""test/units/galaxy/test_collection.py"""
ansible,10,ansible_10,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/units/modules/system/test_pamd.py,lib/ansible/modules/system/pamd.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_10.patch,"""e368f788f71c338cd3f049d5d6bdc643a51c0514""","""a4b59d021368285490f7cda50c11ac4f7a8030b5""","""test/units/modules/system/test_pamd.py"""
ansible,2,ansible_2,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/utils/test_version.py,lib/ansible/utils/version.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_2.patch,"""de59b17c7f69d5cfb72479b71776cc8b97e29a6b""","""5b9418c06ca6d51507468124250bb58046886be6""","""test/units/utils/test_version.py"""
ansible,3,ansible_3,keep,keep,TRUE,TRUE,TRUE,1,1,0,1,test_distribution_version,test/units/module_utils/test_distribution_version.py,lib/ansible/module_utils/facts/system/distribution.py,,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\ansible_3.patch,"""70219df9056ffb1e2766f572fbe71f7a1800c9f5""","""9d48884e36fb4fd9551f000b87d264383de74e75""","""test/units/module_utils/test_distribution_version.py"""
ansible,4,ansible_4,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/playbook/test_collectionsearch.py,lib/ansible/playbook/collectionsearch.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_4.patch,"""d91658ec0c8434c82c3ef98bfe9eb4e1027a43a3""","""18a66e291dad71128a32d662aa808213acefe0e9""","""test/units/playbook/test_collectionsearch.py"""
ansible,5,ansible_5,keep,keep,TRUE,TRUE,TRUE,2,1,1,1,test_check_required_arguments,test/units/module_utils/common/validation/test_check_mutually_exclusive.py; test/units/module_utils/common/validation/test_check_required_arguments.py,lib/ansible/module_utils/common/validation.py,test/units/module_utils/common/validation/test_check_mutually_exclusive.py,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\ansible_5.patch,"""2af76f16be8cf2239daaec4c2f31c3dcb4e3469e""","""3c3ffc09c203d1b2262f6a319cceadd727749761""","""test/units/module_utils/common/validation/test_check_required_arguments.py"""
ansible,6,ansible_6,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/galaxy/test_collection_install.py,lib/ansible/galaxy/collection.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_6.patch,"""90898132e456ee1993db99a1531379f1b98ee915""","""4881af2e7e0506ada0225fd764e874e20569d5b2""","""test/units/galaxy/test_collection_install.py"""
ansible,7,ansible_7,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/modules/network/eos/test_eos_vlans.py,lib/ansible/module_utils/network/eos/config/vlans/vlans.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_7.patch,"""cd146b836e032df785ecd9eb711c6ef23c2228b8""","""4ec1437212b2fb3c313e44ed5a76b105f2151622""","""test/units/modules/network/eos/test_eos_vlans.py"""
ansible,8,ansible_8,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/plugins/shell/test_powershell.py,lib/ansible/plugins/shell/powershell.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_8.patch,"""81378b3e744cd0d13b33d18a4f8a38aeb8a6e97a""","""fc7980af9a42676913b4054163570ee438b82e9c""","""test/units/plugins/shell/test_powershell.py"""
ansible,9,ansible_9,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/units/modules/packaging/os/test_redhat_subscription.py,lib/ansible/modules/packaging/os/redhat_subscription.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\ansible_9.patch,"""9276dd2007a73172ed99ab5a56cded4298d3cd2b""","""6f1bb37feb81acd99157f5ba0933fecd747015a2""","""test/units/modules/packaging/os/test_redhat_subscription.py"""
