project,bug_id,repo_hint,buggy_commit,fixed_commit,python_version,status,notes
pandas,1,"""https://github.com/pandas-dev/pandas""","""3fd150c""","""e41ee47a90bb1d8a1fa28fcefcd45ed8ef5cb946""","""3.8.3""",selected,
pandas,2,"""https://github.com/pandas-dev/pandas""","""2740fb4""","""55e8891f6d33be14e0db73ac06513129503f995c""","""3.8.3""",selected,
pandas,3,"""https://github.com/pandas-dev/pandas""","""45fee32""","""d3a6a3a58e1a6eb68b8b8399ff252b8f4501950e""","""3.8.3""",selected,
pandas,4,"""https://github.com/pandas-dev/pandas""","""cca710b""","""2250ddfaff92abaff20a5bcd78315f5d4bd44981""","""3.8.3""",selected,
pandas,5,"""https://github.com/pandas-dev/pandas""","""4f4282f8a7c1033fc3efe9f4eab5368a70ae5041""","""0babe10f1f3f19bb6183b6fb4cc958583c6860c8""","""3.8.3""",selected,
pandas,6,"""https://github.com/pandas-dev/pandas""","""21a10d1""","""8cd8ed3657e52ad9f67e17b7f5c20f7340ab6a2c""","""3.8.3""",selected,
pandas,7,"""https://github.com/pandas-dev/pandas""","""27f365d""","""64336ff8414f8977ff94adb9a5bc000a3a4ef454""","""3.8.3""",selected,
pandas,8,"""https://github.com/pandas-dev/pandas""","""ddbeca6""","""d09f20e29bdfa82f5efc071986e2633001d552f6""","""3.8.3""",selected,
pandas,9,"""https://github.com/pandas-dev/pandas""","""c557ab5""","""ebb727e5cd8865a7f5d6cfb4b22d3278b6bf5e6b""","""3.8.3""",selected,
pandas,10,"""https://github.com/pandas-dev/pandas""","""de8ca78""","""e1ee2b0679e5999c993a787606d30e75faaba7a2""","""3.8.3""",selected,
ansible,1,"""https://github.com/ansible/ansible""","""25c5388fdec9e56517a93feb5e8d485680946c25""","""343ffaa18b63c92e182b16c3ad84b8d81ca4df69""","""3.6.9""",selected,
ansible,2,"""https://github.com/ansible/ansible""","""de59b17c7f69d5cfb72479b71776cc8b97e29a6b""","""5b9418c06ca6d51507468124250bb58046886be6""","""3.6.9""",selected,
ansible,3,"""https://github.com/ansible/ansible""","""70219df9056ffb1e2766f572fbe71f7a1800c9f5""","""9d48884e36fb4fd9551f000b87d264383de74e75""","""3.6.9""",selected,
ansible,4,"""https://github.com/ansible/ansible""","""d91658ec0c8434c82c3ef98bfe9eb4e1027a43a3""","""18a66e291dad71128a32d662aa808213acefe0e9""","""3.6.9""",selected,
ansible,5,"""https://github.com/ansible/ansible""","""2af76f16be8cf2239daaec4c2f31c3dcb4e3469e""","""3c3ffc09c203d1b2262f6a319cceadd727749761""","""3.6.9""",selected,
ansible,6,"""https://github.com/ansible/ansible""","""90898132e456ee1993db99a1531379f1b98ee915""","""4881af2e7e0506ada0225fd764e874e20569d5b2""","""3.6.9""",selected,
ansible,7,"""https://github.com/ansible/ansible""","""cd146b836e032df785ecd9eb711c6ef23c2228b8""","""4ec1437212b2fb3c313e44ed5a76b105f2151622""","""3.6.9""",selected,
ansible,8,"""https://github.com/ansible/ansible""","""81378b3e744cd0d13b33d18a4f8a38aeb8a6e97a""","""fc7980af9a42676913b4054163570ee438b82e9c""","""3.6.9""",selected,
ansible,9,"""https://github.com/ansible/ansible""","""9276dd2007a73172ed99ab5a56cded4298d3cd2b""","""6f1bb37feb81acd99157f5ba0933fecd747015a2""","""3.6.9""",selected,
ansible,10,"""https://github.com/ansible/ansible""","""e368f788f71c338cd3f049d5d6bdc643a51c0514""","""a4b59d021368285490f7cda50c11ac4f7a8030b5""","""3.6.9""",selected,
youtube-dl,1,"""https://github.com/ytdl-org/youtube-dl""","""99036a1298089068dcf80c0985bfcc3f8c24f281""","""1cc47c667419e0eadc0a6989256ab7b276852adf""","""3.7.0""",selected,
youtube-dl,2,"""https://github.com/ytdl-org/youtube-dl""","""84f085d4bdb66ee025fb337bcd571eab7469da97""","""9d6ac71c27b1dfb662c795ef598dbfd0286682da""","""3.7.0""",selected,
youtube-dl,3,"""https://github.com/ytdl-org/youtube-dl""","""f5469da9e6e259c1690c7ef54f1da1c19f65036f""","""95f3f7c20a05e7ac490e768b8470b20538ef8581""","""3.7.0""",selected,
youtube-dl,4,"""https://github.com/ytdl-org/youtube-dl""","""bc40b3a5ba44006c23daf7fe0ed872af5e33bdc5""","""189935f15960300d316e8b07108b076ac6c2186a""","""3.7.0""",selected,
youtube-dl,5,"""https://github.com/ytdl-org/youtube-dl""","""b02b960c6bba834d9e7199ac53430c7933079dc8""","""7dc2a74e0ac9cfa74cc9de6f586ffd5cc8bac0d9""","""3.7.0""",selected,
youtube-dl,6,"""https://github.com/ytdl-org/youtube-dl""","""4f29fa99069760dc47ef9ca5dbf607a567d2982f""","""d631d5f9f27f93767226192e4288990413fa9dbd""","""3.7.0""",selected,
youtube-dl,7,"""https://github.com/ytdl-org/youtube-dl""","""63a64948342ebfe46db8c258765e698a04a61904""","""d01949dc89feb2441f251e42e8a6bfa4711b9715""","""3.7.0""",selected,
youtube-dl,8,"""https://github.com/ytdl-org/youtube-dl""","""cf2ac6df6896dac4d23918867bb86fac1e1088d9""","""f5f4a27a964b41646303921104f4d6d6fd2098e4""","""3.7.0""",selected,
youtube-dl,9,"""https://github.com/ytdl-org/youtube-dl""","""0130afb76e5cb6f470f39f127c8d09eea3e82d0d""","""cf2ac6df6896dac4d23918867bb86fac1e1088d9""","""3.7.0""",selected,
youtube-dl,10,"""https://github.com/ytdl-org/youtube-dl""","""85d586617750d38d742a24f141b099f6b898d269""","""d305dd73a3d6927f0a2c63d08662a183fa173833""","""3.7.0""",selected,
